uuid,key,value
id-49be8339-84d7-11ec-289a-0050568b5c9f,CMDB ID,3146216537e2ee4061eb2b2943990e54
id-49be8339-84d7-11ec-289a-0050568b5c9f,ING ID,application-business-34462
id-49be8339-84d7-11ec-289a-0050568b5c9f,Environment,Production
id-49be8339-84d7-11ec-289a-0050568b5c9f,Operational Status,Operational
id-49be8339-84d7-11ec-289a-0050568b5c9f,Documentation,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Description,sents to G/L AE injected in PAN by applications not yet connected to FAR (the AE are enriched by referentials) and sents to PAN AE coming from G/L in order to have a correct balance in PAN (VAT & pro rata information
id-49be8339-84d7-11ec-289a-0050568b5c9f,BIA Date,22/07/2020
id-49be8339-84d7-11ec-289a-0050568b5c9f,Comment,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Category,Business Application
id-49be8339-84d7-11ec-289a-0050568b5c9f,Parent IT Solution,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Business unit,BE/HR & Finance & Risk
id-49be8339-84d7-11ec-289a-0050568b5c9f,Support Group,be+nl/Finance & Risk Support Chain/F&R Business Support (MA)
id-49be8339-84d7-11ec-289a-0050568b5c9f,Asset Owner,Camille Villeroy de Galhau
id-49be8339-84d7-11ec-289a-0050568b5c9f,IT Custodian,Tine Puttenaers
id-49be8339-84d7-11ec-289a-0050568b5c9f,Architect,Kathy Mottet
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM1,Finance management
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM2,Accounting
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM3,Detailed accounting
id-49be8339-84d7-11ec-289a-0050568b5c9f,CMDB ID,3146216537e2ee4061eb2b2943990e54
id-49be8339-84d7-11ec-289a-0050568b5c9f,ING ID,application-business-34462
id-49be8339-84d7-11ec-289a-0050568b5c9f,Environment,Production
id-49be8339-84d7-11ec-289a-0050568b5c9f,Operational Status,Operational
id-49be8339-84d7-11ec-289a-0050568b5c9f,Documentation,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Description,sents to G/L AE injected in PAN by applications not yet connected to FAR (the AE are enriched by referentials) and sents to PAN AE coming from G/L in order to have a correct balance in PAN (VAT & pro rata information
id-49be8339-84d7-11ec-289a-0050568b5c9f,BIA Date,22/07/2020
id-49be8339-84d7-11ec-289a-0050568b5c9f,Comment,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Category,Business Application
id-49be8339-84d7-11ec-289a-0050568b5c9f,Parent IT Solution,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Business unit,BE/HR & Finance & Risk
id-49be8339-84d7-11ec-289a-0050568b5c9f,Support Group,be+nl/Finance & Risk Support Chain/F&R Business Support (MA)
id-49be8339-84d7-11ec-289a-0050568b5c9f,Asset Owner,Camille Villeroy de Galhau
id-49be8339-84d7-11ec-289a-0050568b5c9f,IT Custodian,Tine Puttenaers
id-49be8339-84d7-11ec-289a-0050568b5c9f,Architect,Kathy Mottet
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM1,Finance management
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM2,Accounting
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM3,Detailed accounting
id-a5416933-09c8-11ed-1459-0a0027000004,CMDB ID,
id-a5416933-09c8-11ed-1459-0a0027000004,ING ID,
id-a5416933-09c8-11ed-1459-0a0027000004,Environment,Production
id-a5416933-09c8-11ed-1459-0a0027000004,Operational Status,Decommissioned
id-a5416933-09c8-11ed-1459-0a0027000004,Documentation,Presentation & Truncation d'Effets en FB.Agences. Wisselsaanbieding en Inhouding in BF. Kantoren.
id-a5416933-09c8-11ed-1459-0a0027000004,Description,
id-a5416933-09c8-11ed-1459-0a0027000004,BIA Date,
id-a5416933-09c8-11ed-1459-0a0027000004,Comment,
id-a5416933-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a5416933-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a5416933-09c8-11ed-1459-0a0027000004,Business unit,
id-a5416933-09c8-11ed-1459-0a0027000004,Support Group,
id-a5416933-09c8-11ed-1459-0a0027000004,Asset Owner,
id-a5416933-09c8-11ed-1459-0a0027000004,IT Custodian,
id-a5416933-09c8-11ed-1459-0a0027000004,Architect,Vipin Zharotia
id-a5416933-09c8-11ed-1459-0a0027000004,BCM1,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,BCM2,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,BCM3,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,Domain,Business lending
id-a5416933-09c8-11ed-1459-0a0027000004,S-Code,
id-a5416933-09c8-11ed-1459-0a0027000004,Automation,
id-a5416933-09c8-11ed-1459-0a0027000004,CMDB ID,
id-a5416933-09c8-11ed-1459-0a0027000004,ING ID,
id-a5416933-09c8-11ed-1459-0a0027000004,Environment,Production
id-a5416933-09c8-11ed-1459-0a0027000004,Operational Status,Decommissioned
id-a5416933-09c8-11ed-1459-0a0027000004,Documentation,Presentation & Truncation d'Effets en FB.Agences. Wisselsaanbieding en Inhouding in BF. Kantoren.
id-a5416933-09c8-11ed-1459-0a0027000004,Description,
id-a5416933-09c8-11ed-1459-0a0027000004,BIA Date,
id-a5416933-09c8-11ed-1459-0a0027000004,Comment,
id-a5416933-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a5416933-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a5416933-09c8-11ed-1459-0a0027000004,Business unit,
id-a5416933-09c8-11ed-1459-0a0027000004,Support Group,
id-a5416933-09c8-11ed-1459-0a0027000004,Asset Owner,
id-a5416933-09c8-11ed-1459-0a0027000004,IT Custodian,
id-a5416933-09c8-11ed-1459-0a0027000004,Architect,Vipin Zharotia
id-a5416933-09c8-11ed-1459-0a0027000004,BCM1,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,BCM2,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,BCM3,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,Domain,Business lending
id-a5416933-09c8-11ed-1459-0a0027000004,S-Code,
id-a5416933-09c8-11ed-1459-0a0027000004,Automation,
id-a54e1361-09c8-11ed-1459-0a0027000004,Target Application Option 2,iMX
id-a54e1361-09c8-11ed-1459-0a0027000004,Target Application Option 2,iMX
id-a54e8893-09c8-11ed-1459-0a0027000004,Target Application Option 1,Account engine DAL
id-a54e8893-09c8-11ed-1459-0a0027000004,Target Application Option 1,Account engine DAL
id-a54a69e1-09c8-11ed-1459-0a0027000004,Target Application Option 1,NextGen AE
id-a54a69e1-09c8-11ed-1459-0a0027000004,Target Application Option 1,NextGen AE
id-a55d55ab-09c8-11ed-1459-0a0027000004,Target Application Option 1,"EPOS (ZAFIN) , NextAE as slave"
id-a55d55ab-09c8-11ed-1459-0a0027000004,Target Application Option 1,"EPOS (ZAFIN) , NextAE as slave"
id-a5433df5-09c8-11ed-1459-0a0027000004,P-Code,
id-a5433df5-09c8-11ed-1459-0a0027000004,P-Code,
id-a54efdc5-09c8-11ed-1459-0a0027000004,Target Application Option 1,OMAAP
id-a54efdc5-09c8-11ed-1459-0a0027000004,Target Application Option 1,OMAAP
id-a545fd15-09c8-11ed-1459-0a0027000004,CMDB ID,dce7d96d3722ee4061eb2b2943990ef9
id-a545fd15-09c8-11ed-1459-0a0027000004,ING ID,application-business-38633
id-a545fd15-09c8-11ed-1459-0a0027000004,Environment,Production
id-a545fd15-09c8-11ed-1459-0a0027000004,Operational Status,Operational
id-a545fd15-09c8-11ed-1459-0a0027000004,Documentation,Centralisation change CNO Centralisatie wissel NOC
id-a545fd15-09c8-11ed-1459-0a0027000004,Description,Centralization of Forex operations for investment.
id-a545fd15-09c8-11ed-1459-0a0027000004,BIA Date,
id-a545fd15-09c8-11ed-1459-0a0027000004,Comment,@Amella
id-a545fd15-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a545fd15-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a545fd15-09c8-11ed-1459-0a0027000004,Business unit,BE/Domestic Products/Investments
id-a545fd15-09c8-11ed-1459-0a0027000004,Support Group,be+nl/Investments/Belgian Platform & AAA/Plans Management & Fund Transaction Exe
id-a545fd15-09c8-11ed-1459-0a0027000004,Asset Owner,Erik Hagreis
id-a545fd15-09c8-11ed-1459-0a0027000004,IT Custodian,Arnaud Gaudissart
id-a545fd15-09c8-11ed-1459-0a0027000004,Architect,Marcel Delhez
id-a545fd15-09c8-11ed-1459-0a0027000004,BCM1,Product & service processing
id-a545fd15-09c8-11ed-1459-0a0027000004,BCM2,Product processing
