uuid,_source,_target,type,name,desc,access_type,influence_strength
CxnDef.-5UBvU14jXiI-q-L,id-df2c0885-85c1-11ec-19bb-0050568bdf9a,id-df2c087f-85c1-11ec-19bb-0050568bdf9a,Realization,,,,
CxnDef.5TEAlqAKLqb-q-L,id-49ca997e-406d-11ec-4d14-0050568b5c9f,id-e557b9f9-9de7-11eb-05d0-0050568b5c9f,Assignment,,,,
CxnDef.5kkx4RJkKaG-q-L,id-49ca997e-406d-11ec-4d14-0050568b5c9f,id-73725494-0a0c-11eb-4ee3-0050568b5c9f,Realization,,,,
CxnDef.145ZgvIvdj2-q-L,id-49ca998f-406d-11ec-4d14-0050568b5c9f,id-f1fbfd3e-0a10-11eb-4ee3-0050568b5c9f,Realization,,,,
CxnDef.7CrSRUfBC0u-q-L,id-49ca9992-406d-11ec-4d14-0050568b5c9f,id-f1fbfd3e-0a10-11eb-4ee3-0050568b5c9f,Realization,,,,
CxnDef.3NTG8Pz7opO-q-L,id-49ca998c-406d-11ec-4d14-0050568b5c9f,id-f1fbfd3e-0a10-11eb-4ee3-0050568b5c9f,Realization,,,,
CxnDef.2wVpPsYogNQ-q-L,id-49ca9988-406d-11ec-4d14-0050568b5c9f,id-e557b9f9-9de7-11eb-05d0-0050568b5c9f,Assignment,,,,
CxnDef.2syLZWZyR6Y-q-L,id-0d09979d-4070-11ec-4d14-0050568b5c9f,id-49ca998f-406d-11ec-4d14-0050568b5c9f,Aggregation,,,,
CxnDef.-1h8OU-N4P9Z-q-L,id-0d09979d-4070-11ec-4d14-0050568b5c9f,id-49ca9988-406d-11ec-4d14-0050568b5c9f,Aggregation,,,,
CxnDef.6e8u7OX-B-Y-q-L,id-0d09979d-4070-11ec-4d14-0050568b5c9f,id-49ca9992-406d-11ec-4d14-0050568b5c9f,Aggregation,,,,
CxnDef.5XuKPLsb4DZ-q-L,id-0d09979d-4070-11ec-4d14-0050568b5c9f,id-49ca997e-406d-11ec-4d14-0050568b5c9f,Aggregation,,,,
CxnDef.1VYIffg2h1T-q-L,id-0d09979d-4070-11ec-4d14-0050568b5c9f,id-49ca998c-406d-11ec-4d14-0050568b5c9f,Aggregation,,,,
CxnDef.37USRWtiHah-q-L,id-a2683b10-962c-11ec-0ac0-0050568b2437,id-a2683b13-962c-11ec-0ac0-0050568b2437,Serving,,,,
CxnDef.5tlAw2u6CEN-q-L,id-a2683b10-962c-11ec-0ac0-0050568b2437,id-a2683b07-962c-11ec-0ac0-0050568b2437,Aggregation,,,,
CxnDef.1zc0fME9cwP-q-L,id-a2683b10-962c-11ec-0ac0-0050568b2437,id-a2683af6-962c-11ec-0ac0-0050568b2437,Serving,,,,
CxnDef.-6oKGzTTCH5C-q-L,id-a2683b13-962c-11ec-0ac0-0050568b2437,id-a2683b07-962c-11ec-0ac0-0050568b2437,Aggregation,,,,
CxnDef.-3nM-0NQx5Bg-q-L,id-a2683b13-962c-11ec-0ac0-0050568b2437,id-a2683b02-962c-11ec-0ac0-0050568b2437,Realization,,,,
CxnDef.1rhgN_FMU8g-q-L,id-db67223f-1640-11ec-4d13-0050568b5c9f,id-db67223b-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.7Kh5MbqphBb-q-L,id-db67223f-1640-11ec-4d13-0050568b5c9f,id-db67221a-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.2Oe9OgL_1kG-q-L,id-b03da277-2ab1-11ec-3eca-0050568bdf9a,id-ec467db4-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.6TCiFwHrK-Q-q-L,id-b03da277-2ab1-11ec-3eca-0050568bdf9a,id-8ae60e54-1645-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.5IqQwyoHnrf-q-L,id-b03da277-2ab1-11ec-3eca-0050568bdf9a,id-8ae60e56-1645-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.36vrl6QgvwQ-q-L,id-2128d971-ac27-11ec-1702-0050568b2437,id-2128b260-ac27-11ec-1702-0050568b2437,Aggregation,,,,
CxnDef.-28jzR4ci_om-q-L,id-89930c6c-4eb7-11ec-19af-0050568bdf9a,id-db672225-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.-5o2CjFRISFV-q-L,id-89930c6c-4eb7-11ec-19af-0050568bdf9a,id-ec467dd2-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.-1UMjy4l7J9r-q-L,id-89930c6c-4eb7-11ec-19af-0050568bdf9a,id-db672223-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.-4sT3tUDhbBP-q-L,id-9f4ac8a6-5ce4-11ec-288d-0050568b5c9f,id-2128b260-ac27-11ec-1702-0050568b2437,Association,,,,
CxnDef.2LgyugaHxcz-q-L,id-9f4ac8a6-5ce4-11ec-288d-0050568b5c9f,id-9886afe0-617e-11ec-19b9-0050568bdf9a,Realization,,,,
CxnDef.4kepfxz7EdC-q-L,id-adbe19ef-3887-11ec-3ed2-0050568bdf9a,id-adbe19ed-3887-11ec-3ed2-0050568bdf9a,Association,,,,
CxnDef.7m3ZQ9-v4ue-q-L,id-adbe19ef-3887-11ec-3ed2-0050568bdf9a,id-0f093e7f-2b43-11ec-3ecc-0050568bdf9a,Association,,,,
CxnDef.-5JkQql0Q4eu-q-L,id-0f093e9f-2b43-11ec-3ecc-0050568bdf9a,id-eb2735c0-2b56-11ec-3ecc-0050568bdf9a,Serving,,,,
CxnDef.5ENXParI2C9-q-L,id-0f093e85-2b43-11ec-3ecc-0050568bdf9a,id-adbe19e5-3887-11ec-3ed2-0050568bdf9a,Association,,,,
CxnDef.5h02-Z6PQVc-q-L,id-0f093e85-2b43-11ec-3ecc-0050568bdf9a,id-0f093e7f-2b43-11ec-3ecc-0050568bdf9a,Association,,,,
CxnDef.-2zFy6eGDNpS-q-L,id-0f093e85-2b43-11ec-3ecc-0050568bdf9a,id-0f093e9c-2b43-11ec-3ecc-0050568bdf9a,Association,,,,
CxnDef.1x4gvFR0ad3-q-L,id-0f093e85-2b43-11ec-3ecc-0050568bdf9a,id-b03da250-2ab1-11ec-3eca-0050568bdf9a,Association,,,,
CxnDef.-5PCSGCQv27J-q-L,id-b03da25d-2ab1-11ec-3eca-0050568bdf9a,id-db672216-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.pvEDbwxnPD-q-L,id-b03da25d-2ab1-11ec-3eca-0050568bdf9a,id-ec467dbb-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.5S4CSl6mz69-q-L,id-b03da25d-2ab1-11ec-3eca-0050568bdf9a,id-ca860865-17af-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.2IqYFefKol4-q-L,id-67a9162e-4ebe-11ec-19af-0050568bdf9a,id-db67223b-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.4Wpi-tvP8AV-q-L,id-89930c79-4eb7-11ec-19af-0050568bdf9a,id-b03da277-2ab1-11ec-3eca-0050568bdf9a,Association,,,,
CxnDef.-77luol4GXat-q-L,id-b03da250-2ab1-11ec-3eca-0050568bdf9a,id-53ac1cc8-2aad-11ec-3eca-0050568bdf9a,Aggregation,,,,
CxnDef.3s0-yNerELm-q-L,id-b03da250-2ab1-11ec-3eca-0050568bdf9a,id-db672216-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.2OfI9np7LsZ-q-L,id-b03da250-2ab1-11ec-3eca-0050568bdf9a,id-ec467db8-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
